,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,time_stamp
0,1,Bitcoin,BTC,bitcoin,11783,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19771375.0,19771375.0,False,,1,,,,2024-10-22T14:43:00.000Z,67428.1804058499,35878304466.441246,11.0292,0.76763062,0.25655486,2.61945192,7.8435446,9.50885568,0.59307029,1333147840371.7104,57.24,1415991788522.85,,2024-10-22T14:43:00.000Z,,,,,,2024-10-22 20:15:29.762240
1,1027,Ethereum,ETH,ethereum,9437,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120392960.0277458,120392960.0277458,True,,2,,,,2024-10-22T14:43:00.000Z,2632.2568310646056,16023310593.750822,-17.395,0.45021534,-1.34605765,2.19858464,2.86990688,-1.29055867,-23.62709967,316905191445.1219,13.6096,316905191445.12,,2024-10-22T14:43:00.000Z,,,,,,2024-10-22 20:15:29.762240
2,825,Tether USDt,USDT,tether,100893,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,120219543500.33812,121337937370.43233,True,,3,,,,2024-10-22T14:43:00.000Z,0.9993348694643784,62985626594.10177,-2.5273,0.0063188,-0.00110229,-0.05655303,-0.11260969,-0.0820537,-0.11812771,120139581810.97755,5.1594,121257231803.16,,2024-10-22T14:43:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-10-22 20:15:29.762240
3,1839,BNB,BNB,bnb,2266,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,145931399.2762019,145931399.2762019,False,,4,,,,2024-10-22T14:43:00.000Z,596.8440844622736,1774321164.6172233,-7.5425,0.78628618,-0.0449869,1.98679525,3.24103522,2.93160787,1.69204683,87098292395.30322,3.7397,87098292395.3,,2024-10-22T14:43:00.000Z,,,,,,2024-10-22 20:15:29.762240
4,5426,Solana,SOL,solana,768,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,470009280.0417542,586986361.9269944,True,,5,,,,2024-10-22T14:43:00.000Z,169.0382119032591,3574723626.103148,-11.9718,1.88723239,2.96989729,10.83349188,18.21157397,16.7165968,-6.20217355,79449528276.1963,3.412,99223125031.74,,2024-10-22T14:43:00.000Z,,,,,,2024-10-22 20:15:29.762240
5,3408,USDC,USDC,usd-coin,22589,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'solana-ecosystem', 'hedera-hashgraph-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'base-ecosystem', 'fiat-stablecoin']",,34625973211.47312,34625973211.47312,False,,6,,,,2024-10-22T14:43:00.000Z,0.9997955482629857,7067053746.501042,17.8032,-0.00157929,-0.00221779,-0.02334332,-0.05468463,-0.01194863,-0.0447791,34618893871.104225,1.4867,34618893871.1,,2024-10-22T14:43:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-10-22 20:15:29.762240
6,52,XRP,XRP,xrp,1407,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,56706436160.0,99987115141.0,False,,7,,,,2024-10-22T14:43:00.000Z,0.5343753593879984,1112972062.9157693,-13.9036,0.41507936,-1.99219521,-0.61960546,-8.74215452,-10.88552499,-15.41132519,30302522202.612587,1.3013,53437535938.8,,2024-10-22T14:43:00.000Z,,,,,,2024-10-22 20:15:29.762240
7,74,Dogecoin,DOGE,dogecoin,1084,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,146473796383.7052,146473796383.7052,True,,8,,,,2024-10-22T14:43:00.000Z,0.14058959656132805,1736541292.819643,-12.1682,1.11987928,-1.0890731,24.10601558,33.06208339,28.97434655,4.74941283,20592691940.391224,0.8844,20592691940.39,,2024-10-22T14:43:00.000Z,,,,,,2024-10-22 20:15:29.762240
8,1958,TRON,TRX,tron,1054,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,86507038248.49771,86507056107.6107,True,,9,71659659264.0,11455279165.991964,,2024-10-22T14:43:00.000Z,0.15985673506749154,314559416.61402905,3.3207,0.09543046,1.52156996,1.05498707,5.70990675,1.62792381,18.71692924,13828732694.763456,0.5939,13828735549.66,,2024-10-22T14:43:00.000Z,,,,,,2024-10-22 20:15:29.762240
9,11419,Toncoin,TON,toncoin,582,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2539532788.3304577,5113664940.981148,True,,10,3414166606.0,17914885469.142834,,2024-10-22T14:43:00.000Z,5.2472206358235445,174474845.39150926,-5.604,0.72886881,0.79622542,1.24752074,-5.05806951,-20.21181341,-24.72142699,13325488852.278084,0.5723,26832528203.0,,2024-10-22T14:43:00.000Z,,,,,,2024-10-22 20:15:29.762240
